layout,error_type,error,lost_rows,neg_control_mean,pos_control_mean,neg_stdev,pos_stdev,Zfactor_expected,SSMD_expected,Zfactor_raw,SSMD_raw,Zfactor_norm,SSMD_norm
PLAID,bowl-nl,0.05,0,101.03553248602233,34.18128010879954,4.715795778691005,5.947972995832314,0.521476866676182,-8.807512968898527,0.10187246220164026,-4.610443391043406,0.33647700727710317,-6.36782102355445
PLAID,bowl-nl,0.05,1,98.04459793045012,36.36092770312521,5.723277842300808,7.304982110434769,0.3663674727173939,-6.646936691298387,-1.2948017923981365,-1.5607362474910615,0.16498731885938123,-4.913193072747391
PLAID,bowl-nl,0.05,2,100.44230446098649,35.666724363271335,3.2590289943247637,4.66737871448341,0.6328983377601077,-11.378909603179697,-2.436487896906688,-1.0323011345628816,0.2560784826465101,-5.621820840211467
PLAID,bowl-nl,0.05,0,101.49013740369045,36.3796609597096,4.022084987346981,4.078474002358764,0.6267624152616103,-11.366856048040473,0.2191088909109704,-5.115642479605305,0.270280142688784,-5.735051623512466
PLAID,bowl-nl,0.05,1,97.91471325979361,37.106374910951835,5.436647191282838,5.875827656267699,0.4418952159494748,-7.596148903762271,-1.253802910300546,-1.704938385100123,0.3269902038784963,-6.296506889727056
PLAID,bowl-nl,0.05,2,99.53098908844609,37.42198779418602,3.7991386925562667,7.553155325427065,0.4516594802000554,-7.346006478167508,-2.403458291211728,-1.1135680902439526,0.18261722903173527,-5.1649420606386895
PLAID,bowl-nl,0.05,0,96.52360686575794,35.65586404433388,3.847568209060809,9.256778565055889,0.3541235718615674,-6.071863984934154,-0.27286202398952497,-3.317865238260426,0.020284100965918372,-3.918658782127483
PLAID,bowl-nl,0.05,1,100.52780484624626,35.061705825812126,3.733075790709593,7.08449475021298,0.5042821840867874,-8.175223906735136,-0.2374896741489816,-3.427813373036307,0.08527399805732705,-4.407173941047608
PLAID,bowl-nl,0.05,2,101.15768784407956,32.995462902803354,3.9169478603201004,6.819665233751948,0.527453229263483,-8.667079939380315,-1.3488235781456077,-1.6936094449682673,0.3197450403304959,-6.176696816815195
PLAID,bowl-nl,0.05,0,97.75513135762365,36.51464233927152,5.8965683849793695,3.242824737802262,0.5522867336978906,-9.100377274559976,-0.014991605667443508,-3.4972952512183055,0.023615428147713002,-4.3053825691755
PLAID,bowl-nl,0.05,1,100.1410543973694,32.74620785021037,4.669645854953048,5.514759882764259,0.546653508710454,-9.326439324544234,-0.22757653745327433,-3.377337428708584,0.332720149946653,-6.296211294737209
PLAID,bowl-nl,0.05,2,98.99569439153038,34.23101943592634,3.6036470953636783,6.314484402402636,0.5405767957039007,-8.907970655998561,-0.1784364655411823,-3.599842509373261,0.17067226428479687,-5.032588473416449
PLAID,bowl-nl,0.05,0,101.40939326575018,35.04785382576799,4.655680072751094,5.588607752576632,0.5368874240209847,-9.123389504707928,-0.011500780991680282,-3.6255245112811796,0.19538294068384077,-5.260260265317737
PLAID,bowl-nl,0.05,1,99.38926346781105,36.35696345595722,4.863260543153018,7.368322903184947,0.4178421169445967,-7.139589515691775,-1.549869258886332,-1.467288004017869,0.12531487459206248,-4.850476255828515
PLAID,bowl-nl,0.05,2,101.46324795661158,33.122808412766915,4.110675707683533,6.539891494292327,0.5324627435937317,-8.847236275073751,-2.299716823574045,-1.126688016802328,0.2332418924187467,-5.533208004646934
